sample_id,method,order,runtime_status,prediction,gold_answers,answer_exact,answer_token_f1,supporting_f1,triple_event_f1,graph_triple_f1,verifier_precision,verifier_recall,verifier_f1,verifier_micro_precision,verifier_micro_recall,verifier_micro_f1,verifier_candidate_count,plan_valid,plan_relation_recall,early_latent_evidence_recall,callback_hit_rate,deferred_to_promoted,cross_window_deferred_to_promoted,cross_window_deferred_promoted_count,non_early_deferred_promoted_count,windows_processed,window_word_budget,streaming_protocol_valid,model_calls,input_tokens,output_tokens,latency_ms,error_type,error
dev_10083,v5_predicted,original,ANSWERED,"Gerhard VI, Count of Oldenburg","[""Gerhard VI"", ""Gerhard VI, Count of Oldenburg""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,12798,480,21596.817242971156,,
dev_1009,v5_predicted,original,ANSWERED,Frederick Augustus I of Schleswig-Holstein-Sonderburg-Beck,"[""Frederick Louis"", ""Frederick Louis, Duke of Schleswig-Holstein-Sonderburg-Beck""]",False,0.75,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12117,462,11785.715494013857,,
dev_10166,v5_predicted,original,ANSWERED,"Chicago, Illinois","[""U.S.A."", ""American"", ""US of A"", ""US"", ""United States of America"", ""USA"", ""the United States of America"", ""United States"", ""the US"", ""🇺🇸"", ""the United States"", ""U.S."", ""America"", ""the USA""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,9957,188,19334.139760001563,,
dev_10262,v5_predicted,original,ANSWERED,"Bolesław II, Duke of Cieszyn","[""Bolesław II, Duke of Cieszyn""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,19179,544,45338.99625699269,,
dev_10272,v5_predicted,original,ANSWERED,The Cat In The Bag,"[""The Cat In The Bag"", ""Cat in the Bag"", ""The Cat in the Bag"", ""Le Chat dans le sac"", ""Chat dans le sac""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,0.5,0.0,0,1,2,,True,13,19481,1067,148671.52953601908,,
dev_10365,v5_predicted,original,ANSWERED,Two On The Steppes,"[""Ghost Breakers"", ""The Ghost Breakers""]",False,0.28571428571428575,,,,,,,,,,,True,,,1.0,0.058823529411764705,0.058823529411764705,1,0,2,,True,11,15561,2413,52105.42204900412,,
dev_10394,v5_predicted,original,ANSWERED,Hills Of Oklahoma,"[""Madame Besøker Oslo"", ""Madame besøker Oslo""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,12821,901,294261.77024503704,,
dev_10404,v5_predicted,original,ANSWERED,Modern Mothers,"[""Slaughter Rule"", ""The Slaughter Rule""]",False,0.0,,,,,,,,,,,True,,,1.0,0.25,0.0,0,1,2,,True,11,18990,1305,49117.18667199602,,
dev_10497,v5_predicted,original,ANSWERED,Princess Elisabeth Sophie of Brandenburg-Schwedt,"[""Magdalene Sibylle of Holstein-Gottorp"", ""Magdalena Sibylla of Holstein-Gottorp"", ""Magdalena Sibylla of Schleswig-Holstein-Gottorp""]",False,0.1818181818181818,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12391,1374,33634.62308404269,,
dev_10616,v5_predicted,original,ANSWERED,Jobst of Limburg,"[""Hermann Georg of Limburg""]",False,0.5714285714285715,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,11988,346,14094.57850200124,,
dev_10681,v5_predicted,original,ANSWERED,Charles VI of France,"[""Louis of Valois"", ""Louis I, Duke of Orléans"", ""Louis of France""]",False,0.5714285714285715,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,13337,387,227644.33377300156,,
dev_1088,v5_predicted,original,ANSWERED,Chaitrada Chandrama,"[""Amelia Lópes O'Neill""]",False,0.0,,,,,,,,,,,True,,,1.0,0.2,0.0,0,1,2,,True,10,19582,3773,688072.9176619789,,
dev_1089,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,8,13047,505,219434.74426900502,,
dev_11005,v5_predicted,original,ANSWERED,Warsaw,"[""State of Florida"", ""FL"", ""Florida""]",False,0.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,11,19305,477,41167.24392096512,,
dev_11039,v5_predicted,original,ANSWERED,"Stockholm, Sweden","[""Stockholm"", ""Estocolmo"", ""Tukholma""]",False,0.6666666666666666,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,10831,320,39956.96398895234,,
dev_11062,v5_predicted,original,ANSWERED,"Oh, Mr Porter!","[""Oh, Mr Porter!""]",True,1.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,2,2,,True,13,26134,1554,108819.666743977,,
dev_11424,v5_predicted,original,ANSWERED,The text does not provide the name of the uncle,"[""Zhuang Bo of Quwo""]",False,0.14285714285714288,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,5,9213,275,8414.308761944994,,
dev_11483,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,15544,629,66832.68187200883,,
dev_11549,v5_predicted,original,ANSWERED,Darius II,"[""Darius II""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,16793,542,165961.1003260361,,
dev_11602,v5_predicted,original,ANSWERED,Paloma Faith,"[""Paula Maxine Patton"", ""Paula Patton""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,9638,229,38788.88635401381,,
dev_118,v5_predicted,original,ANSWERED,"It'S A Joke, Son!","[""It's a Joke, Son!"", ""It'S A Joke, Son!""]",True,1.0,,,,,,,,,,,True,,,1.0,0.3333333333333333,0.0,0,1,2,,True,17,26341,1684,429134.7414199845,,
dev_11816,v5_predicted,original,ANSWERED,The Relative of His Excellency,"[""The Relative Of His Excellency"", ""Relative of His Excellency"", ""The Relative of His Excellency""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,18030,614,148271.7687879922,,
dev_11991,v5_predicted,original,ANSWERED,Corazón De Criolla,"[""Corazón de criolla"", ""Corazón De Criolla"", ""Corazon de criolla""]",True,1.0,,,,,,,,,,,True,,,0.3333333333333333,0.0,0.0,0,0,2,,True,11,17948,1436,356125.36135001574,,
dev_12040,v5_predicted,original,ANSWERED,unknown,"[""Phnom Penh""]",False,0.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,1,2,,True,8,10893,359,68608.18408703199,,
dev_12237,v5_predicted,original,ANSWERED,Dorf Im Herbst,"[""Dorf im Herbst"", ""Dorf Im Herbst""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12076,643,13565.171820984688,,
dev_12536,v5_predicted,original,ANSWERED,The Lucky Corner,"[""The Lucky Corner"", ""Lucky Corner""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,1.0,0.0,0,2,2,,True,13,17157,1121,65025.437027041335,,
dev_12537,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,1,,True,7,9346,477,53944.69504500739,,
dev_1328,v5_predicted,original,ANSWERED,Dublin,"[""Dublin"", ""Dublin city"", ""City of Dublin""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,21236,759,30650.264252966736,,
dev_1353,v5_predicted,original,ANSWERED,28 October 1934,"[""28 October 1934""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,9,13739,572,72383.94138799049,,
dev_1420,v5_predicted,original,ANSWERED,"Claude-François-Dorothée, Marquis De Jouffroy D'Abbans","[""Claude-François-Dorothée, Marquis De Jouffroy D'Abbans"", ""Claude-François-Dorothée, marquis de Jouffroy d'Abbans""]",True,1.0,,,,,,,,,,,True,,,1.0,0.5,0.5,1,0,2,,True,12,24434,885,47202.324379002675,,
dev_1463,v5_predicted,original,ANSWERED,The Warrior Queen Of Jhansi,"[""Swords and Sceptres"", ""The Warrior Queen Of Jhansi"", ""The Warrior Queen of Jhansi""]",True,1.0,,,,,,,,,,,True,,,1.0,0.6666666666666666,0.0,0,2,2,,True,15,22230,1242,78017.2167980345,,
